ID	Class	Name	BigWigPlus	BigWigMinus
1	K562_C	K562_C1	K562_C1_STAR.plus.bw	K562_C1_STAR.minus.bw
2	K562_C	K562_C2	K562_C2_STAR.plus.bw	K562_C2_STAR.minus.bw
