ID	Class	Name	BigWigPlus	BigWigMinus
1	K562	K562_1	K562_10pct_1.plus.bw	K562_10pct_1.minus.bw
2	K562	K562_2	K562_10pct_2.plus.bw	K562_10pct_2.minus.bw
